,pixel-wise,object-wise
iou,"[0.580732833176737, 0.5998358843462742]",
dice,"[0.734764054985384, 0.749871771492836]",
precision,"[0.5836374890814863, 0.6049897850330067]","[0.9999999999999566, 0.9999999999999231]"
recall,"[0.991502931228678, 0.9859966800054532]","[0.6969696969696758, 0.4062499999999873]"
roc_auc,"[0.9603173972447511, 0.9603853546655529]","[414.44196516101823, 193.45569440240862]"
tpr,"[[0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 0.991502931228678, 1.0], [0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 0.9859966800054532, 1.0]]","[[853.9999999999741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303029384, 0.030303030303029384, 0.06060606060605877, 0.06060606060605877, 0.12121212121211754, 0.1818181818181763, 0.2121212121212057, 0.27272727272726444, 0.3636363636363526, 0.3636363636363526, 0.45454545454544076, 0.48484848484847015, 0.5454545454545289, 0.6060606060605876, 0.6060606060605876, 0.6060606060605876, 0.636363636363617, 0.6666666666666464, 0.6969696969696758, 0.6969696969696758, 0.6969696969696758, 0.6969696969696758, 0.7272727272727052, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.7575757575757346, 0.8181818181817934, 0.8181818181817934, 0.8484848484848228, 0.8484848484848228, 0.8787878787878521, 0.8787878787878521, 0.8787878787878521, 0.9090909090908815, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9393939393939109, 0.9696969696969403, 0.9696969696969403, 0.9696969696969403, 0.9696969696969403, 0.9696969696969403, 0.9696969696969403, 0.9999999999999697, 0.9999999999999697, 0.9999999999999697, 0.9999999999999697, 0.9999999999999697, 1.0606060606060284, 1.0909090909090577, 1.2121212121211753], [398.9999999999875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03124999999999902, 0.03124999999999902, 0.03124999999999902, 0.06249999999999804, 0.09374999999999707, 0.09374999999999707, 0.09374999999999707, 0.12499999999999609, 0.12499999999999609, 0.12499999999999609, 0.12499999999999609, 0.12499999999999609, 0.15624999999999512, 0.18749999999999414, 0.21874999999999314, 0.24999999999999217, 0.24999999999999217, 0.24999999999999217, 0.2812499999999912, 0.31249999999999023, 0.34374999999998923, 0.3749999999999883, 0.3749999999999883, 0.3749999999999883, 0.4062499999999873, 0.4062499999999873, 0.4062499999999873, 0.4062499999999873, 0.4062499999999873, 0.46874999999998535, 0.46874999999998535, 0.46874999999998535, 0.46874999999998535, 0.46874999999998535, 0.49999999999998435, 0.49999999999998435, 0.49999999999998435, 0.49999999999998435, 0.49999999999998435, 0.5312499999999833, 0.5312499999999833, 0.5312499999999833, 0.5312499999999833, 0.5312499999999833, 0.5312499999999833, 0.5312499999999833, 0.5312499999999833, 0.5624999999999823, 0.6249999999999805, 0.6249999999999805, 0.6249999999999805, 0.6249999999999805, 0.6249999999999805, 0.6249999999999805, 0.6249999999999805, 0.6874999999999785, 0.7187499999999775, 0.7187499999999775, 0.7187499999999775, 0.7187499999999775, 0.7187499999999775, 0.7187499999999775, 0.7187499999999775, 0.7812499999999756, 0.7812499999999756, 0.8124999999999746, 0.8124999999999746, 0.8749999999999726, 0.8749999999999726, 0.9374999999999707, 0.9374999999999707, 0.9374999999999707, 0.9374999999999707, 0.9687499999999697, 0.9999999999999687, 0.9999999999999687]]"
fpr,"[[0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 0.0355852535428873, 1.0], [0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 0.03284294043944141, 1.0]]","[[-0.0, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.97062065164979, 0.97062065164979, 0.9706530724717553, 0.9706530724717553, 0.9707179275182583, 0.9707828004410143, 0.9708152436082972, 0.9708801433592942, 0.9709775265407418, 0.9709775265407418, 0.9710749500103427, 0.9711074334574541, 0.9711724137931035, 0.9712374120568354, 0.9712374120568354, 0.9712374120568354, 0.9712699179140512, 0.9713024282560706, 0.971334943083822, 0.971334943083822, 0.971334943083822, 0.971334943083822, 0.9713674623982338, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9713999862002346, 0.9714650472707198, 0.9714650472707198, 0.9714975845410628, 0.9714975845410628, 0.9715301263027124, 0.9715301263027124, 0.9715301263027124, 0.9715626725565986, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9715952233036516, 0.9716277785448019, 0.9716277785448019, 0.9716277785448019, 0.9716277785448019, 0.9716277785448019, 0.9716277785448019, 0.9716603382809803, 0.9716603382809803, 0.9716603382809803, 0.9716603382809803, 0.9716603382809803, 0.9717254712421459, 0.9717580444689959, 0.9718883823732559], [-0.0, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9696969696969696, 0.9697683251044434, 0.9697683251044434, 0.9697683251044434, 0.969839702195548, 0.9699111009801685, 0.9699111009801685, 0.9699111009801685, 0.9699825214681965, 0.9699825214681965, 0.9699825214681965, 0.9699825214681965, 0.9699825214681965, 0.9700539636695293, 0.9701254275940706, 0.9701969132517295, 0.9702684206524217, 0.9702684206524217, 0.9702684206524217, 0.9703399498060687, 0.9704115007225982, 0.9704830734119436, 0.9705546678840447, 0.9705546678840447, 0.9705546678840447, 0.970626284148847, 0.970626284148847, 0.970626284148847, 0.970626284148847, 0.970626284148847, 0.9707695820963689, 0.9707695820963689, 0.9707695820963689, 0.9707695820963689, 0.9707695820963689, 0.9708412637990101, 0.9708412637990101, 0.9708412637990101, 0.9708412637990101, 0.9708412637990101, 0.9709129673341962, 0.9709129673341962, 0.9709129673341962, 0.9709129673341962, 0.9709129673341962, 0.9709129673341962, 0.9709129673341962, 0.9709129673341962, 0.970984692711903, 0.9711282090348136, 0.9711282090348136, 0.9711282090348136, 0.9711282090348136, 0.9711282090348136, 0.9711282090348136, 0.9711282090348136, 0.971271812847672, 0.9713436475878362, 0.9713436475878362, 0.9713436475878362, 0.9713436475878362, 0.9713436475878362, 0.9713436475878362, 0.9713436475878362, 0.9714873827856978, 0.9714873827856978, 0.9715592832634387, 0.9715592832634387, 0.971703150026695, 0.971703150026695, 0.971847104600595, 0.971847104600595, 0.971847104600595, 0.971847104600595, 0.9719191148416634, 0.9719911470655573, 0.9719911470655573]]"
detection_accuracy,,"[0.05186020293122874, 0.060324825986078606]"
segmentation_quality,,"[0.6151457310495967, 0.634678299665573]"
panoptic_quality,,"[0.03190158244451114, 0.03828685798446594]"
